id,ja,ko,en,source_commit
0,ノーマル,노말,Normal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
1,かくとう,격투,Fighting,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,ひこう,비행,Flying,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
3,どく,독,Poison,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
4,じめん,땅,Ground,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
5,いわ,바위,Rock,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
6,むし,벌레,Bug,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
7,ゴースト,고스트,Ghost,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
8,はがね,강철,Steel,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
9,ほのお,불꽃,Fire,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
10,みず,물,Water,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
11,くさ,풀,Grass,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
12,でんき,전기,Electric,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
13,エスパー,에스퍼,Psychic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
14,こおり,얼음,Ice,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
15,ドラゴン,드래곤,Dragon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
16,あく,악,Dark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
17,フェアリー,페어리,Fairy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
18,ステラ,스텔라,Stellar,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
