scope,id,ja,ko,en,source_commit
global,0,なし,없음,None,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,1,マスターボール,마스터볼,Master Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,2,ハイパーボール,하이퍼볼,Ultra Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,3,スーパーボール,슈퍼볼,Great Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,4,モンスターボール,몬스터볼,Poké Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,5,サファリボール,사파리볼,Safari Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,6,ネットボール,네트볼,Net Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,7,ダイブボール,다이브볼,Dive Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,8,ネストボール,네스트볼,Nest Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,9,リピートボール,리피트볼,Repeat Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,10,タイマーボール,타이머볼,Timer Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,11,ゴージャスボール,럭셔리볼,Luxury Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,12,プレミアボール,프리미어볼,Premier Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,13,ダークボール,다크볼,Dusk Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,14,ヒールボール,힐볼,Heal Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,15,クイックボール,퀵볼,Quick Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,16,プレシャスボール,프레셔스볼,Cherish Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,17,キズぐすり,상처약,Potion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,18,どくけし,해독제,Antidote,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,19,やけどなおし,화상치료제,Burn Heal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,20,こおりなおし,얼음상태치료제,Ice Heal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,21,ねむけざまし,잠깨는약,Awakening,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,22,まひなおし,마비치료제,Paralyze Heal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,23,かいふくのくすり,회복약,Full Restore,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
