id,ja,ko,en,source_commit
0,―,-,—,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
1,あくしゅう,악취,Stench,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,あめふらし,잔비,Drizzle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
3,かそく,가속,Speed Boost,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
4,カブトアーマー,전투무장,Battle Armor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
5,がんじょう,옹골참,Sturdy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
6,しめりけ,습기,Damp,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
7,じゅうなん,유연,Limber,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
8,すながくれ,모래숨기,Sand Veil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
9,せいでんき,정전기,Static,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
10,ちくでん,축전,Volt Absorb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
11,ちょすい,저수,Water Absorb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
12,どんかん,둔감,Oblivious,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
13,ノーてんき,날씨부정,Cloud Nine,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
14,ふくがん,복안,Compound Eyes,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
15,ふみん,불면,Insomnia,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
16,へんしょく,변색,Color Change,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
17,めんえき,면역,Immunity,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
18,もらいび,타오르는불꽃,Flash Fire,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
19,りんぷん,인분,Shield Dust,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
20,マイペース,마이페이스,Own Tempo,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
21,きゅうばん,흡반,Suction Cups,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
22,いかく,위협,Intimidate,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
23,かげふみ,그림자밟기,Shadow Tag,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
24,さめはだ,까칠한피부,Rough Skin,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
25,ふしぎなまもり,불가사의부적,Wonder Guard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
26,ふゆう,부유,Levitate,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
27,ほうし,포자,Effect Spore,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
28,シンクロ,싱크로,Synchronize,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
29,クリアボディ,클리어바디,Clear Body,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
30,しぜんかいふく,자연회복,Natural Cure,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
31,ひらいしん,피뢰침,Lightning Rod,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
32,てんのめぐみ,하늘의은총,Serene Grace,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
