id,ja,ko,en,source_commit
0,RibbonChampionKalos	カロス　チャンプリボン,RibbonChampionKalos	칼로스챔피언리본,RibbonChampionKalos	Kalos Champion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
1,RibbonChampionG3	チャンプリボン (3世代),RibbonChampionG3	챔피언리본 (3세대),RibbonChampionG3	Champion (Gen3),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,RibbonChampionSinnoh	シンオウ　チャンプリボン,RibbonChampionSinnoh	신오챔피언리본,RibbonChampionSinnoh	Sinnoh Champion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
3,RibbonBestFriends	なかよしリボン,RibbonBestFriends	절친리본,RibbonBestFriends	Best Friends,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
4,RibbonTraining	しゅぎょうリボン,RibbonTraining	수행리본,RibbonTraining	Training,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
5,RibbonBattlerSkillful	グレートバトルリボン,RibbonBattlerSkillful	그레이트배틀리본,RibbonBattlerSkillful	Skillful Battler,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
6,RibbonBattlerExpert	マスターバトルリボン,RibbonBattlerExpert	마스터배틀리본,RibbonBattlerExpert	Expert Battler,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
7,RibbonEffort	がんばリボン,RibbonEffort	노력리본,RibbonEffort	Effort,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
8,RibbonAlert	しゃっきリボン,RibbonAlert	뚝심리본,RibbonAlert	Alert,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
9,RibbonShock	どっきリボン,RibbonShock	철렁리본,RibbonShock	Shock,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
10,RibbonDowncast	しょんぼリボン,RibbonDowncast	풀죽기리본,RibbonDowncast	Downcast,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
11,RibbonCareless	うっかリボン,RibbonCareless	덜렁이리본,RibbonCareless	Careless,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
12,RibbonRelax	すっきリボン,RibbonRelax	상쾌리본,RibbonRelax	Relax,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
13,RibbonSnooze	ぐっすリボン,RibbonSnooze	잠보리본,RibbonSnooze	Snooze,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
14,RibbonSmile	にっこリボン,RibbonSmile	방글방글리본,RibbonSmile	Smile,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
15,RibbonGorgeous	ゴージャスリボン,RibbonGorgeous	고저스리본,RibbonGorgeous	Gorgeous,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
16,RibbonRoyal	ロイヤルリボン,RibbonRoyal	로열리본,RibbonRoyal	Royal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
17,RibbonGorgeousRoyal	ゴージャスロイヤルリボン,RibbonGorgeousRoyal	고저스로열리본,RibbonGorgeousRoyal	Gorgeous Royal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
18,RibbonArtist	ブロマイドリボン,RibbonArtist	브로마이드리본,RibbonArtist	Artist,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
19,RibbonFootprint	あしあとリボン,RibbonFootprint	발자국리본,RibbonFootprint	Footprint,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
20,RibbonRecord	レコードリボン,RibbonRecord	레코드리본,RibbonRecord	Record,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
21,RibbonLegend	レジェンドリボン,RibbonLegend	레전드리본,RibbonLegend	Legend,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
22,RibbonCountry	カントリーリボン,RibbonCountry	컨트리리본,RibbonCountry	Country,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
23,RibbonNational	ナショナルリボン,RibbonNational	내셔널리본,RibbonNational	National,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
24,RibbonEarth	アースリボン,RibbonEarth	어스리본,RibbonEarth	Earth,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
25,RibbonWorld	ワールドリボン,RibbonWorld	월드리본,RibbonWorld	World,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
26,RibbonClassic	クラシックリボン,RibbonClassic	클래식리본,RibbonClassic	Classic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
27,RibbonPremier	プレミアリボン,RibbonPremier	프리미어리본,RibbonPremier	Premier,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
28,RibbonEvent	イベントリボン,RibbonEvent	이벤트리본,RibbonEvent	Event,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
29,RibbonBirthday	バースデーリボン,RibbonBirthday	버스데이리본,RibbonBirthday	Birthday,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
30,RibbonSpecial	スペシャルリボン,RibbonSpecial	스페셜리본,RibbonSpecial	Special,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
31,RibbonSouvenir	メモリアルリボン,RibbonSouvenir	메모리얼리본,RibbonSouvenir	Souvenir,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
32,RibbonWishing	ウィッシュリボン,RibbonWishing	위시리본,RibbonWishing	Wishing,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
33,RibbonChampionBattle	バトルチャンプリボン,RibbonChampionBattle	배틀챔피언리본,RibbonChampionBattle	Battle Champion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
34,RibbonChampionRegional	エリアチャンプリボン,RibbonChampionRegional	에리어챔피언리본,RibbonChampionRegional	Regional Champion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
35,RibbonChampionNational	ナショナルチャンプリボン,RibbonChampionNational	내셔널챔피언리본,RibbonChampionNational	National Champion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
36,RibbonChampionWorld	ワールドチャンプリボン,RibbonChampionWorld	월드챔피언리본,RibbonChampionWorld	World Champion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
37,RibbonCountMemoryContest	おもいでコンテストリボン,RibbonCountMemoryContest	추억콘테스트리본,RibbonCountMemoryContest	Contest Memory,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
