species_num,species,species_ja,species_ko,full_name,form_name,form_index,form_index_basis,introduced_gen,state_kind,battle_only,cosmetic,type1,type2,hp,atk,def,spe,spa,spd,abilities,required_item,required_move,required_ability,required_tera_type,changes_from,battle_only_from,nonstandard,source,notes,form_argument,form_argument_basis,verification_status
3,Venusaur,フシギバナ,이상해꽃,Venusaur,Base,0,showdown_formeOrder,1,base_form,no,no,Grass,Poison,80,82,83,80,100,100,Overgrow|Chlorophyll,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,reference_order_only
3,Venusaur,フシギバナ,이상해꽃,Venusaur-Gmax,Gmax,,not_persistent_form_id_gigantamax,8,battle_transformation,no,no,Grass,Poison,80,82,83,80,100,100,Overgrow|Chlorophyll,,,,,Venusaur,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,semantic_verified_not_persistent
3,Venusaur,フシギバナ,이상해꽃,Venusaur-Mega,Mega,1,showdown_formeOrder,6,battle_transformation,no,no,Grass,Poison,80,100,123,80,122,120,Thick Fat,Venusaurite,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,reference_order_only
6,Charizard,リザードン,리자몽,Charizard,Base,0,showdown_formeOrder,1,base_form,no,no,Fire,Flying,78,84,78,100,109,85,Blaze|Solar Power,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,reference_order_only
6,Charizard,リザードン,리자몽,Charizard-Gmax,Gmax,,not_persistent_form_id_gigantamax,8,battle_transformation,no,no,Fire,Flying,78,84,78,100,109,85,Blaze|Solar Power,,,,,Charizard,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,semantic_verified_not_persistent
6,Charizard,リザードン,리자몽,Charizard-Mega-X,Mega-X,1,showdown_formeOrder,6,battle_transformation,no,no,Fire,Dragon,78,130,111,100,130,85,Tough Claws,Charizardite X,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,reference_order_only
6,Charizard,リザードン,리자몽,Charizard-Mega-Y,Mega-Y,2,showdown_formeOrder,6,battle_transformation,no,no,Fire,Flying,78,104,78,100,159,115,Drought,Charizardite Y,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,reference_order_only
9,Blastoise,カメックス,거북왕,Blastoise,Base,0,showdown_formeOrder,1,base_form,no,no,Water,,79,83,100,78,85,105,Torrent|Rain Dish,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,reference_order_only
9,Blastoise,カメックス,거북왕,Blastoise-Gmax,Gmax,,not_persistent_form_id_gigantamax,8,battle_transformation,no,no,Water,,79,83,100,78,85,105,Torrent|Rain Dish,,,,,Blastoise,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,semantic_verified_not_persistent
9,Blastoise,カメックス,거북왕,Blastoise-Mega,Mega,1,showdown_formeOrder,6,battle_transformation,no,no,Water,,79,103,120,78,135,115,Mega Launcher,Blastoisinite,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,reference_order_only
