"emerald_id","emerald_hex","emerald_symbol","agb_symbol","mapping_kind","hgss_id","hgss_symbol","platinum_id","platinum_symbol","diamond_pearl_id","diamond_pearl_symbol","notes"
"0","0x000","ITEM_NONE","AGB_ITEM_NONE","identity_none","0","ITEM_NONE","0","ITEM_NONE","0","ITEM_NONE",""
"1","0x001","ITEM_MASTER_BALL","AGB_ITEM_MASTER_BALL","official_hgss_agb","1","ITEM_MASTER_BALL","1","ITEM_MASTER_BALL","1","ITEM_MASTER_BALL",""
"2","0x002","ITEM_ULTRA_BALL","AGB_ITEM_ULTRA_BALL","official_hgss_agb","2","ITEM_ULTRA_BALL","2","ITEM_ULTRA_BALL","2","ITEM_ULTRA_BALL",""
"3","0x003","ITEM_GREAT_BALL","AGB_ITEM_GREAT_BALL","official_hgss_agb","3","ITEM_GREAT_BALL","3","ITEM_GREAT_BALL","3","ITEM_GREAT_BALL",""
"4","0x004","ITEM_POKE_BALL","AGB_ITEM_POKE_BALL","official_hgss_agb","4","ITEM_POKE_BALL","4","ITEM_POKE_BALL","4","ITEM_POKE_BALL",""
"5","0x005","ITEM_SAFARI_BALL","AGB_ITEM_SAFARI_BALL","official_hgss_agb","5","ITEM_SAFARI_BALL","5","ITEM_SAFARI_BALL","5","ITEM_SAFARI_BALL",""
"6","0x006","ITEM_NET_BALL","AGB_ITEM_NET_BALL","official_hgss_agb","6","ITEM_NET_BALL","6","ITEM_NET_BALL","6","ITEM_NET_BALL",""
"7","0x007","ITEM_DIVE_BALL","AGB_ITEM_DIVE_BALL","official_hgss_agb","7","ITEM_DIVE_BALL","7","ITEM_DIVE_BALL","7","ITEM_DIVE_BALL",""
"8","0x008","ITEM_NEST_BALL","AGB_ITEM_NEST_BALL","official_hgss_agb","8","ITEM_NEST_BALL","8","ITEM_NEST_BALL","8","ITEM_NEST_BALL",""
"9","0x009","ITEM_REPEAT_BALL","AGB_ITEM_REPEAT_BALL","official_hgss_agb","9","ITEM_REPEAT_BALL","9","ITEM_REPEAT_BALL","9","ITEM_REPEAT_BALL",""
"10","0x00A","ITEM_TIMER_BALL","AGB_ITEM_TIMER_BALL","official_hgss_agb","10","ITEM_TIMER_BALL","10","ITEM_TIMER_BALL","10","ITEM_TIMER_BALL",""
"11","0x00B","ITEM_LUXURY_BALL","AGB_ITEM_LUXURY_BALL","official_hgss_agb","11","ITEM_LUXURY_BALL","11","ITEM_LUXURY_BALL","11","ITEM_LUXURY_BALL",""
"12","0x00C","ITEM_PREMIER_BALL","AGB_ITEM_PREMIER_BALL","official_hgss_agb","12","ITEM_PREMIER_BALL","12","ITEM_PREMIER_BALL","12","ITEM_PREMIER_BALL",""
"13","0x00D","ITEM_POTION","AGB_ITEM_POTION","official_hgss_agb","17","ITEM_POTION","17","ITEM_POTION","17","ITEM_POTION",""
"14","0x00E","ITEM_ANTIDOTE","AGB_ITEM_ANTIDOTE","official_hgss_agb","18","ITEM_ANTIDOTE","18","ITEM_ANTIDOTE","18","ITEM_ANTIDOTE",""
"15","0x00F","ITEM_BURN_HEAL","AGB_ITEM_BURN_HEAL","official_hgss_agb","19","ITEM_BURN_HEAL","19","ITEM_BURN_HEAL","19","ITEM_BURN_HEAL",""
"16","0x010","ITEM_ICE_HEAL","AGB_ITEM_ICE_HEAL","official_hgss_agb","20","ITEM_ICE_HEAL","20","ITEM_ICE_HEAL","20","ITEM_ICE_HEAL",""
"17","0x011","ITEM_AWAKENING","AGB_ITEM_AWAKENING","official_hgss_agb","21","ITEM_AWAKENING","21","ITEM_AWAKENING","21","ITEM_AWAKENING",""
"18","0x012","ITEM_PARALYZE_HEAL","AGB_ITEM_PARALYZE_HEAL","official_hgss_agb","22","ITEM_PARLYZ_HEAL","22","ITEM_PARLYZ_HEAL","22","ITEM_PARLYZ_HEAL",""
"19","0x013","ITEM_FULL_RESTORE","AGB_ITEM_FULL_RESTORE","official_hgss_agb","23","ITEM_FULL_RESTORE","23","ITEM_FULL_RESTORE","23","ITEM_FULL_RESTORE",""
"20","0x014","ITEM_MAX_POTION","AGB_ITEM_MAX_POTION","official_hgss_agb","24","ITEM_MAX_POTION","24","ITEM_MAX_POTION","24","ITEM_MAX_POTION",""
"21","0x015","ITEM_HYPER_POTION","AGB_ITEM_HYPER_POTION","official_hgss_agb","25","ITEM_HYPER_POTION","25","ITEM_HYPER_POTION","25","ITEM_HYPER_POTION",""
"22","0x016","ITEM_SUPER_POTION","AGB_ITEM_SUPER_POTION","official_hgss_agb","26","ITEM_SUPER_POTION","26","ITEM_SUPER_POTION","26","ITEM_SUPER_POTION",""
"23","0x017","ITEM_FULL_HEAL","AGB_ITEM_FULL_HEAL","official_hgss_agb","27","ITEM_FULL_HEAL","27","ITEM_FULL_HEAL","27","ITEM_FULL_HEAL",""
"24","0x018","ITEM_REVIVE","AGB_ITEM_REVIVE","official_hgss_agb","28","ITEM_REVIVE","28","ITEM_REVIVE","28","ITEM_REVIVE",""
