emerald_extension_id,hex,constant,japanese,korean,english,debut_generation,reference_item_id,mainline_trigger,legends_arceus_trigger,type,form,move_boost_percent,notes
377,0x179,ITEM_FLAME_PLATE,ひのたまプレート,불구슬플레이트,Flame Plate,4,298,held,use_on_arceus,Fire,Fire,20,First extension slot after Emerald ITEM_OLD_SEA_MAP 376
378,0x17A,ITEM_SPLASH_PLATE,しずくプレート,물방울플레이트,Splash Plate,4,299,held,use_on_arceus,Water,Water,20,
379,0x17B,ITEM_ZAP_PLATE,いかずちプレート,우레플레이트,Zap Plate,4,300,held,use_on_arceus,Electric,Electric,20,
380,0x17C,ITEM_MEADOW_PLATE,みどりのプレート,초록플레이트,Meadow Plate,4,301,held,use_on_arceus,Grass,Grass,20,
381,0x17D,ITEM_ICICLE_PLATE,つららのプレート,고드름플레이트,Icicle Plate,4,302,held,use_on_arceus,Ice,Ice,20,
382,0x17E,ITEM_FIST_PLATE,こぶしのプレート,주먹플레이트,Fist Plate,4,303,held,use_on_arceus,Fighting,Fighting,20,
383,0x17F,ITEM_TOXIC_PLATE,もうどくプレート,맹독플레이트,Toxic Plate,4,304,held,use_on_arceus,Poison,Poison,20,
384,0x180,ITEM_EARTH_PLATE,だいちのプレート,대지플레이트,Earth Plate,4,305,held,use_on_arceus,Ground,Ground,20,
385,0x181,ITEM_SKY_PLATE,あおぞらプレート,푸른하늘플레이트,Sky Plate,4,306,held,use_on_arceus,Flying,Flying,20,
386,0x182,ITEM_MIND_PLATE,ふしぎのプレート,이상한플레이트,Mind Plate,4,307,held,use_on_arceus,Psychic,Psychic,20,
387,0x183,ITEM_INSECT_PLATE,たまむしプレート,비단벌레플레이트,Insect Plate,4,308,held,use_on_arceus,Bug,Bug,20,
388,0x184,ITEM_STONE_PLATE,がんせきプレート,암석플레이트,Stone Plate,4,309,held,use_on_arceus,Rock,Rock,20,
389,0x185,ITEM_SPOOKY_PLATE,もののけプレート,원령플레이트,Spooky Plate,4,310,held,use_on_arceus,Ghost,Ghost,20,
390,0x186,ITEM_DRACO_PLATE,りゅうのプレート,용의플레이트,Draco Plate,4,311,held,use_on_arceus,Dragon,Dragon,20,
391,0x187,ITEM_DREAD_PLATE,こわもてプレート,공포플레이트,Dread Plate,4,312,held,use_on_arceus,Dark,Dark,20,
392,0x188,ITEM_IRON_PLATE,こうてつプレート,강철플레이트,Iron Plate,4,313,held,use_on_arceus,Steel,Steel,20,
393,0x189,ITEM_PIXIE_PLATE,せいれいプレート,정령플레이트,Pixie Plate,6,644,held,use_on_arceus,Fairy,Fairy,20,Requires Fairy engine type
394,0x18A,ITEM_BLANK_PLATE,まっさらプレート,순백플레이트,Blank Plate,8,1780,not_used,use_on_arceus,Normal,Normal,0,PLA active-use item
395,0x18B,ITEM_LEGEND_PLATE,レジェンドプレート,레전드플레이트,Legend Plate,8,1828,not_used,use_on_arceus,Dynamic,Normal,0,PLA state is Normal outside battle and Judgment selects battle type
396,0x18C,ITEM_NORMALIUM_Z,ノーマルＺ,노말Z,Normalium Z,7,776,held_multitype_gen7,not_used,Normal,Normal,0,Gen VII Multitype form trigger; Judgment ignores Z-Crystal
397,0x18D,ITEM_FIRIUM_Z,ホノオＺ,불꽃Z,Firium Z,7,777,held_multitype_gen7,not_used,Fire,Fire,0,Judgment remains Normal unless a Plate is held
398,0x18E,ITEM_WATERIUM_Z,ミズＺ,물Z,Waterium Z,7,778,held_multitype_gen7,not_used,Water,Water,0,Judgment remains Normal unless a Plate is held
399,0x18F,ITEM_ELECTRIUM_Z,デンキＺ,전기Z,Electrium Z,7,779,held_multitype_gen7,not_used,Electric,Electric,0,Judgment remains Normal unless a Plate is held
400,0x190,ITEM_GRASSIUM_Z,クサＺ,풀Z,Grassium Z,7,780,held_multitype_gen7,not_used,Grass,Grass,0,Judgment remains Normal unless a Plate is held
401,0x191,ITEM_ICIUM_Z,コオリＺ,얼음Z,Icium Z,7,781,held_multitype_gen7,not_used,Ice,Ice,0,Judgment remains Normal unless a Plate is held
402,0x192,ITEM_FIGHTINIUM_Z,カクトウＺ,격투Z,Fightinium Z,7,782,held_multitype_gen7,not_used,Fighting,Fighting,0,Judgment remains Normal unless a Plate is held
403,0x193,ITEM_POISONIUM_Z,ドクＺ,독Z,Poisonium Z,7,783,held_multitype_gen7,not_used,Poison,Poison,0,Judgment remains Normal unless a Plate is held
