species,form_id,form_name,state_model,trigger,hp,atk,def,spe,spa,spd,type1,type2,ability,item_or_gate,special_parameter
Giratina,0,Altered,persistent,no_Griseous_Orb_outside_Distortion,150,100,120,90,100,120,Ghost,Dragon,Pressure,none,recalc_ability_and_stats
Giratina,1,Origin,persistent,hold_Griseous_Orb_or_Distortion_force,150,120,100,90,120,100,Ghost,Dragon,Levitate,Pt_ID_112_Griseous_Orb,holdEffect_GIRATINA_BOOST_param20
Shaymin,0,Land,persistent,default_or_reset,100,100,100,100,100,100,Grass,Grass,Natural_Cure,none,
Shaymin,1,Sky,persistent,use_Gracidea_fateful_alive_not_frozen_04_20,100,103,75,127,120,75,Grass,Flying,Serene_Grace,Pt_ID_466_Gracidea,fieldUseFunc_GRACIDEA
Rotom,0,Base,persistent,leave_appliance,50,50,77,91,95,77,Electric,Ghost,Levitate,appliance,remove_appliance_move
Rotom,1,Heat,persistent,microwave,50,65,107,86,105,107,Electric,Ghost,Levitate,appliance,Overheat
Rotom,2,Wash,persistent,washing_machine,50,65,107,86,105,107,Electric,Ghost,Levitate,appliance,Hydro_Pump
Rotom,3,Frost,persistent,refrigerator,50,65,107,86,105,107,Electric,Ghost,Levitate,appliance,Blizzard
Rotom,4,Fan,persistent,fan,50,65,107,86,105,107,Electric,Ghost,Levitate,appliance,Air_Slash
Rotom,5,Mow,persistent,lawn_mower,50,65,107,86,105,107,Electric,Ghost,Levitate,appliance,Leaf_Storm
Deoxys,0,Normal,persistent,meteorite,50,150,50,150,150,50,Psychic,Psychic,Pressure,meteorite,
Deoxys,1,Attack,persistent,meteorite,50,180,20,150,180,20,Psychic,Psychic,Pressure,meteorite,
Deoxys,2,Defense,persistent,meteorite,50,70,160,90,70,160,Psychic,Psychic,Pressure,meteorite,
Deoxys,3,Speed,persistent,meteorite,50,95,90,180,95,90,Psychic,Psychic,Pressure,meteorite,Emerald_migration_form
Burmy,0,Plant,persistent,battle_terrain_grass,40,29,45,36,29,45,Bug,Bug,Shed_Skin,battle_terrain,
Burmy,1,Sandy,persistent,battle_terrain_plain_sand_mountain_cave,40,29,45,36,29,45,Bug,Bug,Shed_Skin,battle_terrain,
Burmy,2,Trash,persistent,battle_terrain_building_bridge_facility,40,29,45,36,29,45,Bug,Bug,Shed_Skin,battle_terrain,
Wormadam,0,Plant,persistent_identity,evolve_from_Plant_Burmy,60,59,85,36,79,105,Bug,Grass,Anticipation,inherit_form,
Wormadam,1,Sandy,persistent_identity,evolve_from_Sandy_Burmy,60,79,105,36,59,85,Bug,Ground,Anticipation,inherit_form,
Wormadam,2,Trash,persistent_identity,evolve_from_Trash_Burmy,60,69,95,36,69,95,Bug,Steel,Anticipation,inherit_form,
Castform,0,Normal,battle_only,no_weather_or_suppressed,70,70,70,70,70,70,Normal,Normal,Forecast,weather,
Castform,1,Sunny,battle_only,sun,70,70,70,70,70,70,Fire,Fire,Forecast,weather,
Castform,2,Rainy,battle_only,rain,70,70,70,70,70,70,Water,Water,Forecast,weather,
Castform,3,Snowy,battle_only,hail,70,70,70,70,70,70,Ice,Ice,Forecast,weather,
Cherrim,0,Overcast,battle_only,not_sun_or_weather_suppressed,70,60,70,85,87,78,Grass,Grass,Flower_Gift,weather,
Cherrim,1,Sunshine,battle_only,sun,70,60,70,85,87,78,Grass,Grass,Flower_Gift,weather,ability_supplies_effect
Arceus,derived,Type_Form,persistent_derived,held_Plate_holdEffect,120,120,120,120,120,120,Plate_derived,Plate_derived,Multitype,Pt_IDs_298_313,plate_param20_fling90
