species_num,species,full_name,form_name,introduced_gen,state_kind,persistence,required_item,required_move,required_ability,required_tera_type,changes_from,battle_only_from,trigger_evidence,reset_evidence,notes
3,Venusaur,Venusaur,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
3,Venusaur,Venusaur-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Venusaur,,changesFrom=Venusaur,see generation research / battle-state rules,
3,Venusaur,Venusaur-Mega,Mega,6,battle_transformation,battle/temporary,Venusaurite,,,,,,item=Venusaurite,see generation research / battle-state rules,
6,Charizard,Charizard,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
6,Charizard,Charizard-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Charizard,,changesFrom=Charizard,see generation research / battle-state rules,
6,Charizard,Charizard-Mega-X,Mega-X,6,battle_transformation,battle/temporary,Charizardite X,,,,,,item=Charizardite X,see generation research / battle-state rules,
6,Charizard,Charizard-Mega-Y,Mega-Y,6,battle_transformation,battle/temporary,Charizardite Y,,,,,,item=Charizardite Y,see generation research / battle-state rules,
9,Blastoise,Blastoise,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
9,Blastoise,Blastoise-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Blastoise,,changesFrom=Blastoise,see generation research / battle-state rules,
9,Blastoise,Blastoise-Mega,Mega,6,battle_transformation,battle/temporary,Blastoisinite,,,,,,item=Blastoisinite,see generation research / battle-state rules,
12,Butterfree,Butterfree,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
12,Butterfree,Butterfree-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Butterfree,,changesFrom=Butterfree,see generation research / battle-state rules,
15,Beedrill,Beedrill,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
15,Beedrill,Beedrill-Mega,Mega,6,battle_transformation,battle/temporary,Beedrillite,,,,,,item=Beedrillite,see generation research / battle-state rules,
18,Pidgeot,Pidgeot,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
18,Pidgeot,Pidgeot-Mega,Mega,6,battle_transformation,battle/temporary,Pidgeotite,,,,,,item=Pidgeotite,see generation research / battle-state rules,
19,Rattata,Rattata,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
19,Rattata,Rattata-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
20,Raticate,Raticate,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
20,Raticate,Raticate-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
20,Raticate,Raticate-Alola-Totem,Alola-Totem,7,hidden_internal_form,context-dependent,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Pikachu,,changesFrom=Pikachu,see generation research / battle-state rules,
25,Pikachu,Pikachu-Original,Original,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-Hoenn,Hoenn,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-Sinnoh,Sinnoh,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-Unova,Unova,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-Kalos,Kalos,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-Partner,Partner,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-Starter,Starter,1,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-World,World,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
25,Pikachu,Pikachu-Rock-Star,Rock-Star,6,persistent_identity,persistent/derived,,,,,Pikachu-Cosplay,,changesFrom=Pikachu-Cosplay,see generation research / battle-state rules,
25,Pikachu,Pikachu-Belle,Belle,6,persistent_identity,persistent/derived,,,,,Pikachu-Cosplay,,changesFrom=Pikachu-Cosplay,see generation research / battle-state rules,
25,Pikachu,Pikachu-Pop-Star,Pop-Star,6,persistent_identity,persistent/derived,,,,,Pikachu-Cosplay,,changesFrom=Pikachu-Cosplay,see generation research / battle-state rules,
25,Pikachu,Pikachu-PhD,PhD,6,persistent_identity,persistent/derived,,,,,Pikachu-Cosplay,,changesFrom=Pikachu-Cosplay,see generation research / battle-state rules,
