donor_category,donor_name,source_path,asset_role,reuse_mode,johto_targets,notes
primary,General,data/tilesets/primary/general,"outdoor base tiles; grass; water; waterfall; land/water edge; sand/water edge","direct foundation","all Johto outdoor routes and towns","Preserve Johto geometry; do not transplant Hoenn layouts."
primary,Building,data/tilesets/primary/building,"indoor base tiles; TV animation","direct foundation","houses; marts; offices; towers","Common interior primary donor."
secondary,PokemonCenter,data/tilesets/secondary/pokemon_center,"Pokemon Center interior","direct functional donor","all Johto Pokemon Centers","Use GBA room/metatile grammar; rebuild Johto layouts."
secondary,Shop,data/tilesets/secondary/shop,"mart/shop interior","direct functional donor","Johto Marts","Common shop donor."
secondary,GenericBuilding,data/tilesets/secondary/generic_building,"generic house/building interior","direct functional donor","houses; gates; offices","Default interior donor."
secondary,Lab,data/tilesets/secondary/lab,"laboratory interior","direct functional donor","Elm's Lab","Natural New Bark laboratory donor."
secondary,PokemonDayCare,data/tilesets/secondary/pokemon_day_care,"day-care interior","direct functional donor","Route 34 Day Care","Events remain source-driven."
secondary,PokemonSchool,data/tilesets/secondary/pokemon_school,"school interior","direct functional donor","Earl's Pokemon Academy","Functional donor."
secondary,BikeShop,data/tilesets/secondary/bike_shop,"bike shop interior + blinking-light animation","direct functional donor","Goldenrod Bike Shop","Strong direct donor."
secondary,MauvilleGameCorner,data/tilesets/secondary/mauville_game_corner,"game-corner interior","direct functional donor","Goldenrod Game Corner","Preserve Johto prize/event semantics."
secondary,Facility,data/tilesets/secondary/facility,"office/facility interior","structural donor","Goldenrod Radio Tower; Magnet Train; Rocket facilities","Good technical base; visuals need Johto treatment."
secondary,EliteFour,data/tilesets/secondary/elite_four,"League rooms + animated lights","direct structural donor","Indigo Plateau Elite Four","Rebuild Johto/Kanto visual identity."
secondary,BattleFrontier,data/tilesets/secondary/battle_frontier,"battle-facility common interior","direct structural donor","Crystal Battle Tower","Preferred GBA facility framework."
layout,BattleTower,data/layouts/BattleFrontier_BattleTowerLobby,"Battle Tower layouts","direct structural donor","Crystal Battle Tower","Use lobby/corridor/battle-room architecture as skeleton."
secondary,Petalburg,data/tilesets/secondary/petalburg,"small/medium city exterior","visual/structural donor","Violet; Cherrygrove; New Bark support","Town-scale vocabulary only."
secondary,Rustboro,data/tilesets/secondary/rustboro,"large city exterior; fountain/windy-water animation","visual/structural donor","Violet; Goldenrod","Urban stone/building vocabulary."
secondary,Mauville,data/tilesets/secondary/mauville,"large city exterior; animated flowers","visual/structural donor","Goldenrod","Dense-city technical donor."
secondary,Slateport,data/tilesets/secondary/slateport,"port city exterior","visual/structural donor","Goldenrod; Olivine","Harbor/urban donor."
secondary,Lilycove,data/tilesets/secondary/lilycove,"large coastal city exterior","visual/structural donor","Olivine","Coastal-city donor."
secondary,Dewford,data/tilesets/secondary/dewford,"island/coastal town exterior; flag animation","visual/structural donor","Cianwood","Small coastal-town donor."
secondary,Fallarbor,data/tilesets/secondary/fallarbor,"rural/mountain town exterior","visual/structural donor","Ecruteak; Mahogany","Johto architecture remains custom."
secondary,Lavaridge,data/tilesets/secondary/lavaridge,"mountain town; steam animation","visual/behavior donor","Mahogany; Blackthorn; Ecruteak support","Use terrain/elevation grammar, not volcanic identity."
secondary,Fortree,data/tilesets/secondary/fortree,"forest/tree-town exterior; bridge behavior","visual/behavior donor","Azalea; Ilex Forest; National Park support","Useful forest/tree/bridge vocabulary."
secondary,EverGrande,data/tilesets/secondary/ever_grande,"mountainous League exterior","visual/structural donor","Blackthorn; Indigo/Silver Cave approaches","Highland/League terrain grammar."
secondary,Sootopolis,data/tilesets/secondary/sootopolis,"cliff-ring city exterior; stormy-water animation","behavior/terrain donor","Blackthorn support","Elevation/water vocabulary."
secondary,SootopolisGym,data/tilesets/secondary/sootopolis_gym,"ice-floor/waterfall gym mechanics","behavior donor","Ice Path; selected puzzles","Reuse ice/slide behaviors, not gym layout."
secondary,Cave,data/tilesets/secondary/cave,"generic cave","direct technical donor","Union Cave; Slowpoke Well; Mt Mortar; Dark Cave; Whirl Islands; Dragon's Den; Silver Cave","Main GBA cave base."
secondary,MeteorFalls,data/tilesets/secondary/meteor_falls,"multi-level cave/waterfall visual set","visual/structural donor","Mt Mortar; Whirl Islands; Tohjo Falls; Dragon's Den","Strong vertical cave/water donor."
secondary,RusturfTunnel,data/tilesets/secondary/rusturf_tunnel,"simple tunnel interior","direct structural donor","Dark Cave sections; connecting tunnels","Narrow-tunnel donor."
layout,GraniteCave,data/layouts/GraniteCave_1F,"multi-floor cave layout","layout grammar donor","Union Cave; Dark Cave","GBA layout example only."
layout,ShoalCave,data/layouts/ShoalCave_LowTideIceRoom,"ice-cave layout","layout/behavior donor","Ice Path","Strongest Hoenn Ice Path donor."
layout,MeteorFalls,data/layouts/MeteorFalls_1F_1R,"waterfall cave layout","layout grammar donor","Mt Mortar; Tohjo Falls; Whirl Islands","Use topology grammar, not coordinates."
layout,MtPyre,data/layouts/MtPyre_1F,"tower/interior/exterior progression","layout grammar donor","Sprout Tower; Burned Tower; Tin Tower","Useful floor sequencing; art remains custom."
layout,SkyPillar,data/layouts/SkyPillar_1F,"multi-floor tower progression","layout grammar donor","Tin Tower; Radio Tower support","Technical tower donor."
