generation,project,title,revision,filename,base_stats_offset,base_stats_record_size,base_stats_records_main,mew_base_stats_offset,moves_offset,move_record_size,move_records
1,BLUE,Ao,Rev 0,Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,0x383DE,28,150,0x425B,0x38000,6,165
1,GREEN,Midori,Rev 0,Pocket Monsters - Midori (Japan) (SGB Enhanced).gb,0x38000,28,150,0x4200,0x39658,6,165
1,GREEN,Midori,Rev A,Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,0x38000,28,150,0x4200,0x39658,6,165
1,RED,Aka,Rev 0,Pocket Monsters - Aka (Japan) (SGB Enhanced).gb,0x38000,28,150,0x4200,0x39658,6,165
1,RED,Aka,Rev A,Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,0x38000,28,150,0x4200,0x39658,6,165
1,YELLOW,Pikachu,Rev 0A / header v0,Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,0x383DE,28,150,0x39446,0x38000,6,165
1,YELLOW,Pikachu,Rev B / header v1,Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,0x383DE,28,150,0x39446,0x38000,6,165
1,YELLOW,Pikachu,Rev C / header v2,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,0x383DE,28,150,0x39446,0x38000,6,165
1,YELLOW,Pikachu,Rev D / header v3,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,0x383DE,28,150,0x39446,0x38000,6,165
2,CRYSTAL,Crystal,Rev 0,Pocket Monsters - Crystal Version (Japan).gbc,0x514BA,32,251,,0x41C69,7,251
2,GOLD,Kin,Rev 0,Pocket Monsters Kin (Japan).gbc,0x51AA9,32,251,,0x41C6C,7,251
2,GOLD,Kin,Rev A,Pocket Monsters Kin (Japan) (Rev A).gbc,0x51AA9,32,251,,0x41C6C,7,251
2,SILVER,Gin,Rev 0,Pocket Monsters Gin (Japan).gbc,0x51AA9,32,251,,0x41C6C,7,251
2,SILVER,Gin,Rev A,Pocket Monsters Gin (Japan) (Rev A).gbc,0x51AA9,32,251,,0x41C6C,7,251
3,EMERALD,Emerald,Rev 0,Pocket Monsters - Emerald (Japan).gba,0x2F0D54,28,412,,0x2ED220,12,355
3,FIRERED,FireRed,Rev 0,Pocket Monsters - Fire Red (Japan).gba,0x21118C,28,412,,0x20D60C,12,355
3,FIRERED,FireRed,Rev 1,Pocket Monsters - Fire Red (Japan) (Rev 1).gba,0x20C9A4,28,412,,0x208E24,12,355
3,LEAFGREEN,LeafGreen,Rev 0,Pocket Monsters - Leaf Green (Japan).gba,0x211168,28,412,,0x20D5E8,12,355
3,RUBY,Ruby,Rev 0,Pocket Monsters - Ruby (Japan).gba,0x1D09CC,28,412,,0x1CCEE0,12,355
3,SAPPHIRE,Sapphire,Rev 0,Pocket Monsters - Sapphire (Japan).gba,0x1D095C,28,412,,0x1CCE70,12,355
