generation,project,title,revision,subsystem,rom_offset,structure,verified
1,RED,Aka,Rev 0,good_rod,0xE3CE,"2 fixed level/species entries",direct-rom
1,RED,Aka,Rev A,good_rod,0xE3CE,"2 fixed level/species entries",direct-rom
1,GREEN,Midori,Rev 0,good_rod,0xE3CE,"2 fixed level/species entries",direct-rom
1,GREEN,Midori,Rev A,good_rod,0xE3CE,"2 fixed level/species entries",direct-rom
1,BLUE,Ao,Rev 0,good_rod,0xE3F3,"2 fixed level/species entries",direct-rom
1,YELLOW,Pikachu,Rev 0A,good_rod,0xE241,"2 fixed level/species entries",direct-rom
1,YELLOW,Pikachu,Rev B,good_rod,0xE238,"2 fixed level/species entries",direct-rom
1,YELLOW,Pikachu,Rev C,good_rod,0xE238,"2 fixed level/species entries",direct-rom
1,YELLOW,Pikachu,Rev D,good_rod,0xE238,"2 fixed level/species entries",direct-rom
1,RED,Aka,Rev 0,super_rod,0xEC24,"33 map records -> 10 fishing groups",direct-rom
1,RED,Aka,Rev A,super_rod,0xEC24,"33 map records -> 10 fishing groups",direct-rom
1,GREEN,Midori,Rev 0,super_rod,0xEC24,"33 map records -> 10 fishing groups",direct-rom
1,GREEN,Midori,Rev A,super_rod,0xEC24,"33 map records -> 10 fishing groups",direct-rom
1,BLUE,Ao,Rev 0,super_rod,0xEC49,"33 map records -> 10 fishing groups",direct-rom
1,YELLOW,Pikachu,Rev 0A,super_rod,0xA4C7D,"31 direct map records x 4 slots",direct-rom
1,YELLOW,Pikachu,Rev B,super_rod,0xA4C7D,"31 direct map records x 4 slots",direct-rom
1,YELLOW,Pikachu,Rev C,super_rod,0xA4C7D,"31 direct map records x 4 slots",direct-rom
1,YELLOW,Pikachu,Rev D,super_rod,0xA4C7D,"31 direct map records x 4 slots",direct-rom
2,GOLD,Kin,Rev 0,fishing_groups,0x92946,"13 FishGroups; old/good/super + time groups",direct-rom
2,GOLD,Kin,Rev A,fishing_groups,0x92946,"13 FishGroups; old/good/super + time groups",direct-rom
2,SILVER,Gin,Rev 0,fishing_groups,0x92946,"13 FishGroups; old/good/super + time groups",direct-rom
2,SILVER,Gin,Rev A,fishing_groups,0x92946,"13 FishGroups; old/good/super + time groups",direct-rom
