id,name,language,sha1,scope,rom_embedded,embedded_mode
19-A001,Black Belt Kousei,JPN,F2A69447A2C03EDCD5CB58346CA75DECAF9F017F,main,no,
19-A002,Ninja Boy Kagemasa,JPN,2328CE05B90944813C82AB55778A1DAD599DC947,main,no,
19-A003,Pokefan Keizou,JPN,EC3A8580289B254A45DF75ADFED3C96300C26271,main,no,
19-A004,Cool Trainer Akiomi,JPN,0093CD02AB2FB75D2956712654ECB818A571D17F,main,no,
19-A005,Battle Girl Riona,JPN,B150786A4C8FAA2905FB3AA2839751E1F9713E5F,main,no,
19-A006,Dragon Tamer Inami,JPN,956739553688D5FD2402D8ADC8A781FB0D8496C4,main,no,
19-A007,Poke Maniac Yurato,JPN,82B652BFCC9CE1E7A35D1096F6E93E5DCCCF3534,main,no,
19-A008,Triathlete Sakuya,JPN,9A2FF43B1E054E8C76E4F37DF48DAE30CF0B0FA9,main,no,
19-A009,Lass Komari,JPN,4C8713D0DEEA0E3519ED575B371B0A8000067DAD,main,no,
19-A010,Triathlete Ragi,JPN,738DF54D6581E9CB8616AC06AFB5CEFBF5AE1118,main,no,
19-A011,Ninja Boy Kennosuke,JPN,C35E7D184A2D78E3ED788A71933367BB36ADC865,main,no,
19-A012,Psychic Odunu,JPN,3D3D633676331A8575EE51C8041F95DC0DA00928,main,no,
19-A013,School Kid Kae,JPN,D44CFEBA517C39D6FDF2907BCAFF3F2B5913B2BB,main,no,
19-A014,School Kid Sakiteru,JPN,D4BD287D4F9E598DA857EC0166CA648CCBA49119,main,no,
19-A015,PKMN Breeder Nukumi,JPN,9AC736D8DF6B674DF6489F089C18104183A4282D,main,no,
19-A016,Youngster Akitaka,JPN,93B9542BBF428123738BB0EF182916E7F1B9BBC7,main,no,
19-A017,Triathlete Alfonso,JPN,52F79635F47EA4F395DCE8A954B449334E867A47,main,yes,normal
19-A018,Hex Maniac Alaina,JPN,1F179B330F0609F202BE270EF5E9F6F62385001B,main,yes,normal
19-A019,Black Belt Theodore,JPN,1B6BF4C1A5193B5513C50CACADD8F9BB57F2F3F9,main,yes,normal
19-A020,PKMN Breeder Jayden,JPN,0DC3BEA23E06B816A593CCD105A5E0E4062B33D2,main,yes,normal
19-A021,PKMN Breeder Salvadore,JPN,1B1245C2CF1A8C6954541E7605F8A1F23469324B,main,yes,normal
19-A022,PKMN Breeder Veronica,JPN,E31F1509E086CC479C23240B2632DB115657E6BA,main,yes,normal
19-A023,Psychic Keenan,JPN,02E300164DDC6F5AEFEC5C7415F6F4B875A8F7E3,main,yes,normal
19-A024,Aroma Lady Kristina,JPN,12F95477172C37C6420B4BF429C47B9F4B924B3D,main,yes,normal
19-A025,Sailor Isonosuke,JPN,FD9AB5959315ACF56DFF2A7240106B1183461B7B,main,no,
19-A026,Picnicker Koeda,JPN,7DE071BBC6664B3105D8607BCAC229C7A2B9BC24,main,no,
19-A027,Expert Isaji,JPN,31F99C8F09D00A3A9BA050C178A9C9FE20E63A4E,main,no,
19-A028,Triathlete Ouka,JPN,E3E98E9E852AF80C418F6B0E0C058AB0B38E30E8,main,no,
19-A029,Beauty Maiko,JPN,39A170F7CE79E249C712E2E468AE332668065F75,main,no,
19-A030,Parasol Lady Aquino,JPN,72481217EA13F7D2366AB6D044415062EF64B561,main,no,
19-A031,Hiker Okikazu,JPN,18FC6D552EA42E578D783FFF8853D07FE8AE8760,main,no,
19-A032,Tuber Ricca,JPN,DADB97078081222E9201DE3C4BCB88237AD59C84,main,no,
19-A033,Camper Kousuke,JPN,3741CF5202D0033E54BE06671714FF8DD27E8987,main,no,
19-A034,Guitarist Neo,JPN,5A82BE027DDB3437F4D56A485B677FD6F4C1BF2C,main,no,
19-A035,Rich Boy Tsugan,JPN,EF61C02019041ECB403142830B7BF0B579992251,main,no,
19-A036,Hex Maniac Kagaho,JPN,F105A90E38AE40EBC385408C4FD509CD8C1292D0,main,no,
19-A037,Beauty Tsukika,JPN,ED63A889C2C008FE2AB0C833AF52DD60D1819B97,main,no,
19-A038,Gentleman Ed,JPN,FB27BA12F38A2C3854FF2E96BB766ECF51FB0303,main,no,
19-A039,PKMN Breeder Kaiji,JPN,7366A6A8E1789CC5FA6C7F3F4FDCBF3C8C8FC5A0,main,no,
19-A040,Bug Catcher Kiichi,JPN,DC01045274ABB96B7A15131062F38455701B3912,main,no,
19-A041,Gentleman Terrance,JPN,12FD924DA1898125F51062468D5BA92929B8969F,main,yes,variety
19-A042,Lady Elizabeth,JPN,882AEDAB391521A0C4AD191B3B251818059F17D1,main,yes,variety
19-A043,Parasol Lady Annabell,JPN,31B8EE8022737685DFE29B1CDA118A8F5B8F26A9,main,yes,variety
19-A044,Collector Coleman,JPN,A4964D33D9A07AE2CC510C8C079BB1531E986A00,main,yes,variety
19-A045,Rich Boy Enrique,JPN,2D990B55EC2D8EFAB57EB173323D1E2181A14BFA,main,yes,variety
19-A046,Lady Colleen,JPN,D184CCC17E205C9084C9FDDB211BD0414E36199C,main,yes,variety
19-A047,Pokefan Francisco,JPN,C5F533247CAC61EF3E46726DFD6A0733E6CF4FEA,main,yes,variety
19-A048,Pokefan Kimberly,JPN,8F64A2669C55E19DF70BE9D7C19E4262C6FDA220,main,yes,variety
19-A049,Kindler Bernard,JPN,4A3C261D8DE85AF99F74A3E64625366F5B229DBF,main,yes,unique
19-A050,PKMN Ranger Meredith,JPN,4998CB90F17C6CEDA201117333DF51DFB812C29A,main,yes,unique
19-A051,Ruin Maniac Abraham,JPN,47382551D5F4DBC53C66E256E3BD99FCF5BA761A,main,yes,unique
19-A052,Tuber Luc,JPN,A647AA301EFC59CB8098597DDF4277B682592F86,main,yes,unique
19-A053,Youngster Breyden,JPN,C70575DDFAE03F76125584E41474D127A8FD9C78,main,yes,unique
19-A054,Tuber Aniya,JPN,120FCA4AF15EFC372732E194B47081A1B130166A,main,yes,unique
19-A055,Triathlete Stephanie,JPN,62D779F43AC818611E821C368834F122497A1D6B,main,yes,unique
19-A056,Bird Keeper Dane,JPN,3CD81ED8F01C6F86A6089C960AC29159B9DAB362,main,yes,unique
19-A057,Cool Trainer Alfred,JPN,3AB440F8325229BCB4A55EDA81A0672887972878,main,yes,expert
19-A058,Psychic Edie,JPN,A50240BE779D9D0B7E3454C7E7CCFF75B7A37E09,main,yes,expert
19-A059,Cool Trainer Roderick,JPN,DAA884E8961CF6B8ADFC8B7A0FEE462DAB2D17AB,main,yes,expert
19-A060,Cool Trainer Alicia,JPN,2D5A3A63C4D7D0A4F94513810E2956650B0C6739,main,yes,expert
19-A061,Expert Terrence,JPN,6D7322623FF4BAD8210DDEA1731F3F5BE100148E,main,yes,expert
19-A062,Expert Carlotta,JPN,0E88E040D052F65E4512729C64C2D1D23AF96323,main,yes,expert
19-A063,PKMN Ranger Nora,JPN,5140723BC590F8D73D01643BD4EFF3EB59790A8F,main,yes,expert
19-A064,PKMN Ranger Gav,JPN,4D22F347F7597BD7391B1E2FCBFB60709732DFCB,main,yes,expert
19-P001,Camper Soushi,JPN,22FF13F25C464394E8E83AF91265458BE182DA5D,promo,no,
19-P002,School Kid Toshinori,JPN,2C69D889204B0E16FB033AE458DC12E083AD3235,promo,no,
