species_num,species,species_ja,species_ko,full_name,form_name,form_index,form_index_basis,introduced_gen,state_kind,battle_only,cosmetic,type1,type2,hp,atk,def,spe,spa,spd,abilities,required_item,required_move,required_ability,required_tera_type,changes_from,battle_only_from,nonstandard,source,notes,form_argument,form_argument_basis,verification_status
-5014,Pokestar Black Belt,,,Pokestar Black Belt,Base,0,base_default,5,base_form,no,no,Fighting,,100,100,100,100,100,100,Huge Power,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5014,Pokestar Black Belt,,,Pokestar Black Belt-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Fighting,,100,100,100,100,100,100,Huge Power,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5013,Pokestar White Door,,,Pokestar White Door,Base,0,base_default,5,base_form,no,no,Fire,,100,100,100,100,100,100,Blaze,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5013,Pokestar White Door,,,Pokestar White Door-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Fire,,100,100,100,100,100,100,Blaze,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5012,Pokestar Black Door,,,Pokestar Black Door,Base,0,base_default,5,base_form,no,no,Grass,,100,100,100,100,100,100,Early Bird,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5012,Pokestar Black Door,,,Pokestar Black Door-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Grass,,100,100,100,100,100,100,Early Bird,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5011,Pokestar Spirit,,,Pokestar Spirit,Base,0,base_default,5,base_form,no,no,Dark,Ghost,100,100,100,100,100,100,Wonder Guard,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5011,Pokestar Spirit,,,Pokestar Spirit-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Dark,Ghost,100,100,100,100,100,100,Wonder Guard,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5010,Pokestar F-002,,,Pokestar F-002,Base,0,base_default,5,base_form,no,no,Steel,Normal,100,100,100,100,100,100,Reckless,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5010,Pokestar F-002,,,Pokestar F-002-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Steel,Normal,100,100,100,100,100,100,Reckless,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
