game,resource,schema,entry_size,max_species,blob_sha,resource_size,source_commit
rb,personal_rb,g1,28,151,a9b10fb9a1123a1dcb7eb839c7c2fd715a4aa735,4256,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
y,personal_y,g1,28,151,cc0b17be429d80587b472a725c4dde1fa454a38c,4256,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
gs,personal_gs,g2,32,251,05130b80bd5e223b6cf75993482d10c16f8a033d,8064,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
c,personal_c,g2,32,251,a4c5debd2f2156d6a87df160232d780f5ef569c8,8064,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
rs,personal_rs,g3,28,386,caffa70afc672d60afdc8d30eaa7c14f569521aa,10836,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
e,personal_e,g3,28,386,102fbfdd76ce94fe28efcbd8735fb7175ca36ffd,10836,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
fr,personal_fr,g3,28,386,b27f7f8c1902695e97a5a48835266b1c7c7d1ef1,10836,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
lg,personal_lg,g3,28,386,8b7b3a39091e25bd6ee53d901bd28e9ffe77bbe5,10836,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
dp,personal_dp,g4,44,493,786fa05a9770af017736490e1b68de8d492e5a50,22044,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
pt,personal_pt,g4,44,493,6915c641371adeeae278119a5340c72302133687,22352,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
hgss,personal_hgss,g4,44,493,25f70175542096ce5f3c6214146d794b314716bc,22352,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
bw,personal_bw,g5bw,60,649,de1a0654e8540a5c7e5c8b5e6448db50bb6d8c55,40080,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
b2w2,personal_b2w2,g5b2w2,76,649,9236ad139126af222e915650dbda70d6df897399,53884,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
xy,personal_xy,g6xy,64,721,defb7168d5bfa4be68ef0ed800e0eb0ce4846ce9,51136,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
ao,personal_ao,g6ao,80,721,5263c9cbeb92bd15f4d1b8a691e5391eb91aac7a,66080,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
sm,personal_sm,g7,84,802,a5b7a73fa01445ec7c95d8656e2fd37f2b277dc8,80724,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
uu,personal_uu,g7,84,807,3803c5242a0e021f18ec8219ec78faab3a16de82,81984,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
gg,personal_gg,g7gg,84,809,1a7fa16b2d2c5fcb876202e25a63336fe2932d38,82320,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
swsh,personal_swsh,g8swsh,176,898,36ce653dc5693252b9a301e77d48b387f8f1de68,209792,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
bdsp,personal_bdsp,g8bdsp,68,493,25e7ec955631e1378f5bebdb520f1bd0da59f14e,38080,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
la,personal_la,g8la,176,905,5ece060de236b87fb73e0131b32765bc3d3924a8,224576,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
sv,personal_sv,g9sv,80,1025,a44a6621a093e0e82944a7cc0c08f1408bc7a6dd,113920,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
za,personal_za,g9za,80,1000,022653cf69cc732a73f5200087ff167599200ef5,115600,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
