path,domain,action,priority,reason,source_commit
PKHeX.Core/Game/ComboItem.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/Ability.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/Ball.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/GameVersion.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/GCVersion.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/Gender.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/LanguageBR.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/LanguageGC.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/LanguageID.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/Move.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/MoveType.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/Nature.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Game/Enums/Region3DSIndex.cs,game_metadata,extract_normalized_data,high,"game versions, locations, localized game strings",8ad201e80244f630ab5a46922ab72fb79c5ad4f4
