field,parser_class,resource_key,resource_path,source_path,source_commit
ZA,PersonalTable9ZA,za,PKHeX.Core/Resources/byte/personal/personal_za,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
SV,PersonalTable9SV,sv,PKHeX.Core/Resources/byte/personal/personal_sv,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
LA,PersonalTable8LA,la,PKHeX.Core/Resources/byte/personal/personal_la,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
BDSP,PersonalTable8BDSP,bdsp,PKHeX.Core/Resources/byte/personal/personal_bdsp,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
SWSH,PersonalTable8SWSH,swsh,PKHeX.Core/Resources/byte/personal/personal_swsh,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
GG,PersonalTable7GG,gg,PKHeX.Core/Resources/byte/personal/personal_gg,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
USUM,PersonalTable7,uu,PKHeX.Core/Resources/byte/personal/personal_uu,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
SM,PersonalTable7,sm,PKHeX.Core/Resources/byte/personal/personal_sm,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
AO,PersonalTable6AO,ao,PKHeX.Core/Resources/byte/personal/personal_ao,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
XY,PersonalTable6XY,xy,PKHeX.Core/Resources/byte/personal/personal_xy,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
B2W2,PersonalTable5B2W2,b2w2,PKHeX.Core/Resources/byte/personal/personal_b2w2,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
BW,PersonalTable5BW,bw,PKHeX.Core/Resources/byte/personal/personal_bw,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
HGSS,PersonalTable4,hgss,PKHeX.Core/Resources/byte/personal/personal_hgss,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
Pt,PersonalTable4,pt,PKHeX.Core/Resources/byte/personal/personal_pt,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
DP,PersonalTable4,dp,PKHeX.Core/Resources/byte/personal/personal_dp,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
LG,PersonalTable3,lg,PKHeX.Core/Resources/byte/personal/personal_lg,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
FR,PersonalTable3,fr,PKHeX.Core/Resources/byte/personal/personal_fr,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
E,PersonalTable3,e,PKHeX.Core/Resources/byte/personal/personal_e,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
RS,PersonalTable3,rs,PKHeX.Core/Resources/byte/personal/personal_rs,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
C,PersonalTable2,c,PKHeX.Core/Resources/byte/personal/personal_c,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
GS,PersonalTable2,gs,PKHeX.Core/Resources/byte/personal/personal_gs,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
RB,PersonalTable1,rb,PKHeX.Core/Resources/byte/personal/personal_rb,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
Y,PersonalTable1,y,PKHeX.Core/Resources/byte/personal/personal_y,PKHeX.Core/PersonalInfo/PersonalTable.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
