category,resource_index,index_semantics,japanese,korean,english,source_ja,source_ko,source_en,source_commit
species,0,species_id,タマゴ,알,Egg,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,1,species_id,フシギダネ,이상해씨,Bulbasaur,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,2,species_id,フシギソウ,이상해풀,Ivysaur,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,3,species_id,フシギバナ,이상해꽃,Venusaur,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,4,species_id,ヒトカゲ,파이리,Charmander,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,5,species_id,リザード,리자드,Charmeleon,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,6,species_id,リザードン,리자몽,Charizard,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,7,species_id,ゼニガメ,꼬부기,Squirtle,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,8,species_id,カメール,어니부기,Wartortle,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,9,species_id,カメックス,거북왕,Blastoise,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,10,species_id,キャタピー,캐터피,Caterpie,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,11,species_id,トランセル,단데기,Metapod,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,12,species_id,バタフリー,버터플,Butterfree,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,13,species_id,ビードル,뿔충이,Weedle,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
