id,name_ja,name_ko,name_en,source_commit
0,がんばりや,노력,Hardy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
1,さみしがり,외로움,Lonely,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,ゆうかん,용감,Brave,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
3,いじっぱり,고집,Adamant,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
4,やんちゃ,개구쟁이,Naughty,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
5,ずぶとい,대담,Bold,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
6,すなお,온순,Docile,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
7,のんき,무사태평,Relaxed,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
8,わんぱく,장난꾸러기,Impish,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
9,のうてんき,촐랑,Lax,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
10,おくびょう,겁쟁이,Timid,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
11,せっかち,성급,Hasty,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
12,まじめ,성실,Serious,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
13,ようき,명랑,Jolly,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
14,むじゃき,천진난만,Naive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
15,ひかえめ,조심,Modest,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
16,おっとり,의젓,Mild,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
17,れいせい,냉정,Quiet,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
18,てれや,수줍음,Bashful,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
19,うっかりや,덜렁,Rash,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
20,おだやか,차분,Calm,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
21,おとなしい,얌전,Gentle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
22,なまいき,건방,Sassy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
23,しんちょう,신중,Careful,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
24,きまぐれ,변덕,Quirky,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
