id,symbol,source_commit
0,None,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
1,Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,Ultra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
3,Great,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
4,Poke,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
5,Safari,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
6,Net,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
7,Dive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
8,Nest,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
9,Repeat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
10,Timer,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
11,Luxury,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
12,Premier,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
13,Dusk,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
14,Heal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
15,Quick,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
16,Cherish,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
17,Fast,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
18,Level,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
19,Lure,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
20,Heavy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
21,Love,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
22,Friend,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
23,Moon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
24,Sport,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
25,Dream,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
26,Beast,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
27,Strange,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
28,LAPoke,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
29,LAGreat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
30,LAUltra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
31,LAFeather,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
32,LAWing,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
33,LAJet,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
34,LAHeavy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
35,LALeaden,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
36,LAGigaton,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
37,LAOrigin,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
